WlYyy,cctrW,iPqaD,iPqaD href,FmrIP href,dugSS src,bUshh,cIVmB,iPqaD href 2,WlYyy 2,WlYyy 3,ySnDE,WlYyy 4,WlYyy 5,cctrW 2,ccVGl,WlYyy 6,ccVGl 2,WlYyy 7
1,Free Cancellation up to 7 days in advance,By Beijing Tour Guide,https://www.tripadvisor.com/AttractionProductReview-g294212-d12960501-2_Day_Private_VIP_Sightseeing_Tour_of_Beijing_City_Highlights_and_Great_Wall-Beiji.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d12960501-2_Day_Private_VIP_Sightseeing_Tour_of_Beijing_City_Highlights_and_Great_Wall-Beiji.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/60/48/8a/caption.jpg?w=500&h=400&s=1,2-Day Private VIP Sightseeing Tour of Beijing City Highlights and Great Wall,455.,https://www.tripadvisor.com/Attraction_Review-g294212-d3138665-Reviews-Beijing_Tour_Guide-Beijing.html,Luxury Car Tours,2 days,"Discover the highlights of Beijing with a private guide during a 2-day sightseeing tour. You will see the Great Wall, Tian…",Free cancellation,,,from,$648.00,per adult,More info
1,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By China Adventure Travel--Beijing,https://www.tripadvisor.com/AttractionProductReview-g294212-d12463584-Great_Wall_Hiking_Tour_from_Beijing_Simatai_West_to_Jinshanling-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d12463584-Great_Wall_Hiking_Tour_from_Beijing_Simatai_West_to_Jinshanling-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/64/d2/5d/caption.jpg?w=500&h=400&s=1,Great Wall Hiking Tour from Beijing: Simatai West to Jinshanling,456.,https://www.tripadvisor.com/Attraction_Review-g294212-d20810954-Reviews-China_Adventure_Travel_Beijing-Beijing.html,Bus Tours,6+ hours,Explore both untouched and restored parts of the Great Wall of China on this small-group hiking tour from Beijing. Follow…,Free cancellation,,,from,$301.34,per adult,More info
1,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By WikiBeijing,https://www.tripadvisor.com/AttractionProductReview-g294212-d11483218-Private_Beijing_Night_Tour_with_Royal_Cuisine_Dining_Experience_and_Performances-B.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d11483218-Private_Beijing_Night_Tour_with_Royal_Cuisine_Dining_Experience_and_Performances-B.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5b/0a/1c/caption.jpg?w=500&h=400&s=1,Private Beijing Night Tour with Royal Cuisine Dining Experience and Performances,457.,https://www.tripadvisor.com/Attraction_Review-g294212-d8870709-Reviews-WikiBeijing-Beijing.html,Skip-the-Line Tours,5 hours,Savor a traditional Beijing royal cuisine dinner accompanied by traditional Chinese performances. Visit Olympic Village …,Free cancellation,,,from,$156.00,per adult,More info
1,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By WikiBeijing,https://www.tripadvisor.com/AttractionProductReview-g294212-d11763879-Beijing_Hot_Spring_Experience_with_Great_Wall_or_Forbidden_City_Option-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d11763879-Beijing_Hot_Spring_Experience_with_Great_Wall_or_Forbidden_City_Option-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/6a/8d/9c/caption.jpg?w=500&h=400&s=1,Beijing Hot Spring Experience with Great Wall or Forbidden City Option,458.,https://www.tripadvisor.com/Attraction_Review-g294212-d8870709-Reviews-WikiBeijing-Beijing.html,Full-day Tours,6+ hours,Indulging yourself for a natural Hot Spring experience after visiting the amazing Huanghuacheng Water Great Wall (one of…,Free cancellation,,,from,$317.87,per adult,More info
,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Beijing Driver Guide Service,,https://www.tripadvisor.com/AttractionProductReview-g294212-d11460799-Private_Beijing_Airport_Arrival_Transfer_to_Hotel-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/64/d1/4a/caption.jpg?w=500&h=400&s=1,Private Beijing Airport Arrival Transfer to Hotel,459.,https://www.tripadvisor.com/Attraction_Review-g294212-d3454760-Reviews-Beijing_Driver_Guide_Service-Beijing.html,,1 hour,Travel from Beijing Capital International Airport (PEK) or Daxing International Airport in comfort and be dropped at the…,Free cancellation,,,from,$30.00,per adult,More info
,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Han Tang Tour Beijing,,https://www.tripadvisor.com/AttractionProductReview-g294212-d12152724-Private_Arrival_Transfer_Beijing_Capital_International_Airport_PEK_to_Hotel-Beijin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/ae/d9/5d/caption.jpg?w=500&h=400&s=1,Private Arrival Transfer: Beijing Capital International Airport (PEK) to Hotel,460.,https://www.tripadvisor.com/Attraction_Review-g294212-d19948410-Reviews-Han_Tang_Tour_Beijing-Beijing.html,,1 hour,Begin your vacation with this comfortable and reliable shared transport from the Beijing Capital International Airport to…,Free cancellation,,,from,$43.00,per adult,More info
,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Beijing Driver Guide Service,,https://www.tripadvisor.com/AttractionProductReview-g294212-d11461060-Beijing_to_Tianjin_Xingang_International_Port-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/66/22/60/caption.jpg?w=500&h=400&s=1,Beijing to Tianjin Xingang International Port,461.,https://www.tripadvisor.com/Attraction_Review-g294212-d3454760-Reviews-Beijing_Driver_Guide_Service-Beijing.html,,2–3 hours,"When you are ready to embark on your cruise, your driver will greet you at your Beijing city center hotel and transfer you…",Free cancellation,,,from,$94.00,per adult,More info
,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Han Tang Tour Beijing,,https://www.tripadvisor.com/AttractionProductReview-g294212-d12152738-Beijing_Lama_Temple_Panda_Garden_and_Ancient_Altar_Day_Tour-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/ae/f0/01/caption.jpg?w=500&h=400&s=1,"Beijing Lama Temple, Panda Garden and Ancient Altar Day Tour",462.,https://www.tripadvisor.com/Attraction_Review-g294212-d19948410-Reviews-Han_Tang_Tour_Beijing-Beijing.html,Bus Tours,6+ hours,"Visit the Lama Temple which was built in 1694, one of the largest and most important Tibetan Buddhist monasteries in the…",Free cancellation,,,from,$116.27,per adult,More info
,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Great Wall Tours,,https://www.tripadvisor.com/AttractionProductReview-g294212-d19148711-Beijing_Great_Wall_at_Mutianyu_Day_Trip_No_Shopping_Group_Package-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/59/ab/39/caption.jpg?w=500&h=400&s=1,"Beijing Great Wall at Mutianyu Day Trip (No Shopping, Group Package)",463.,https://www.tripadvisor.com/Attraction_Review-g294212-d19121367-Reviews-Great_Wall_Tours-Beijing.html,Cable Car Tours,9–10 hours,Escape the crowds around the Great Wall of China and visit the ancient Mutianyu section on a full-day sightseeing tour from…,Free cancellation,,,from,$42.56,per adult,More info
,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Unique Beijing Tours,,https://www.tripadvisor.com/AttractionProductReview-g294212-d12650261-Private_Beijing_City_Night_Tour_with_Dinner_or_Bar_Experience_in_360_degree_view_S.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/4a/df/d8/caption.jpg?w=500&h=400&s=1,Private Beijing City Night Tour with Dinner or Bar Experience in 360-degree view Sky City Bar,464.,https://www.tripadvisor.com/Attraction_Review-g294212-d8051374-Reviews-Unique_Beijing_Tours-Beijing.html,Bus Tours,4 hours,"This 4-hour private tour offers you Beijing's buzzing and enjoyable nightlife. Since this is a private customized tour, …",Free cancellation,,,from,$148.00,per adult,More info
,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By ChinaTravelDepot,,https://www.tripadvisor.com/AttractionProductReview-g294212-d12464767-Full_Day_Tour_of_Mutianyu_Great_Wall_Water_Cube_and_Bird_s_Nest-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/53/f4/1f/caption.jpg?w=500&h=400&s=1,"Full-Day Tour of Mutianyu Great Wall, Water Cube and Bird's Nest",465.,https://www.tripadvisor.com/Attraction_Review-g294212-d21396591-Reviews-ChinaTravelDepot-Beijing.html,Full-day Tours,6+ hours,"Mutianyu offers you an alternative experience of visiting Great Wall compared with the Badaling Section, Mutianyu has a …",Free cancellation,,,from,$73.60,per adult,More info
,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Great Wall Tours,,https://www.tripadvisor.com/AttractionProductReview-g294212-d19149707-Group_Tour_Gubei_Water_Town_and_Simatai_Great_Wall_Hiking_No_Shopping-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/59/e9/ef/caption.jpg?w=500&h=400&s=1,Group Tour: Gubei Water Town and Simatai Great Wall Hiking (No Shopping),466.,https://www.tripadvisor.com/Attraction_Review-g294212-d19121367-Reviews-Great_Wall_Tours-Beijing.html,Bus Tours,9–10 hours,This tour will take you not only to Simatai Great Wall but also to Gubei Water Town where surrounds the beautiful Mandarin…,Free cancellation,,,from,$57.50,per adult,More info
,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Beijing Urban Passer,,https://www.tripadvisor.com/AttractionProductReview-g294212-d11451871-Private_Tour_Mutianyu_Great_Wall_and_Olympic_Sites_in_Beijing-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/d2/0f/8d/caption.jpg?w=500&h=400&s=1,Private Tour: Mutianyu Great Wall and Olympic Sites in Beijing,467.,https://www.tripadvisor.com/Attraction_Review-g294212-d10420582-Reviews-Beijing_Urban_Passer-Beijing.html,Full-day Tours,6+ hours,Explore Beijing's architectural wonders and experience its cultural delights on this full-day private tour. With your expert…,Free cancellation,,,from,$214.20,per adult,More info
,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By WikiBeijing,,https://www.tripadvisor.com/AttractionProductReview-g294212-d11477546-Private_Tour_Juyongguan_Great_Wall_Sacred_Way_and_Dingling-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5b/42/0f/caption.jpg?w=500&h=400&s=1,"Private Tour: Juyongguan Great Wall, Sacred Way, and Dingling",468.,https://www.tripadvisor.com/Attraction_Review-g294212-d8870709-Reviews-WikiBeijing-Beijing.html,Full-day Tours,6+ hours,"Visit the Juyongguan section of the Great Wall, a section of the Wall that is easy to get on. Visit the Sacred Way leading…",Free cancellation,,,from,$229.34,per adult,More info
,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Beijing Driver Guide Service,,https://www.tripadvisor.com/AttractionProductReview-g294212-d11462384-Private_Transfer_Hotel_to_Beijing_International_Airport-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/60/cf/49/caption.jpg?w=500&h=400&s=1,Private Transfer: Hotel to Beijing International Airport,469.,https://www.tripadvisor.com/Attraction_Review-g294212-d3454760-Reviews-Beijing_Driver_Guide_Service-Beijing.html,,1 hour,Skip the stress of finding a taxi to get from your Beijing hotel to Beijing International Airport by choosing a reliable…,Free cancellation,,,from,$30.00,per adult,More info
,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Lily's Beijing Tour Guide & Car Service,,https://www.tripadvisor.com/AttractionProductReview-g294212-d21018317-3_Hours_Small_Group_Tour_to_Summer_Palace_with_Boat_Ride-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/6b/60/8d/caption.jpg?w=500&h=400&s=1,3 Hours Small Group Tour to Summer Palace with Boat Ride,470.,https://www.tripadvisor.com/Attraction_Review-g294212-d5773897-Reviews-Lily_s_Beijing_Tour_Guide_Car_Service-Beijing.html,Full-day Tours,6+ hours,"Breeze past the long entry lines to enjoy your 3 hours pre-booked tour of the Summer Palace. Take this small group tour, …",Free cancellation,,,from,$58.00,per adult,More info
,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Royal Travel Club,,https://www.tripadvisor.com/AttractionProductReview-g294212-d20272153-Peking_Opera-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/4a/da/98/caption.jpg?w=500&h=400&s=1,Peking Opera,471.,https://www.tripadvisor.com/Attraction_Review-g294212-d15044466-Reviews-Royal_Travel_Club-Beijing.html,Theaters,1–2 hours,You can watch the traditional Peking Opera in this Opera.The Peking Opera history is more than 200 years .At the beginning…,Free cancellation,,,from,$46.16,per adult,More info
,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Addiction Travel,,https://www.tripadvisor.com/AttractionProductReview-g294212-d15102415-Mini_Group_Tour_Forbidden_City_Temple_of_Heaven_and_Hutong_Cultural_Experience-Bei.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/6d/33/17/caption.jpg?w=500&h=400&s=1,"Mini Group Tour: Forbidden City, Temple of Heaven and Hutong Cultural Experience",472.,https://www.tripadvisor.com/Attraction_Review-g294212-d14153923-Reviews-Addiction_Travel-Beijing.html,Full-day Tours,6+ hours,"Want a No-Shopping, Hassle-Free, ""No more than 6 people"" Mini-sized Group Tour for the Tiananmen Square, Forbidden City …",Free cancellation,,,from,$109.00,per adult,More info
,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By iFunTour,,https://www.tripadvisor.com/AttractionProductReview-g294212-d19868982-Beijing_Olympic_Tower_Tickets-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/90/5a/a2/caption.jpg?w=500&h=400&s=1,Beijing Olympic Tower Tickets,473.,https://www.tripadvisor.com/Attraction_Review-g294212-d15143242-Reviews-IFunTour-Beijing.html,Monuments and Memorials,2 hours,"The tower was officially open in 2015, seven years after the 2008 Beijing Olympic Game! It has a beautiful and unique design…",Free cancellation,,,from,$35.90,per adult,More info
,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Han Tang Tour Beijing,,https://www.tripadvisor.com/AttractionProductReview-g294212-d12152726-Private_Round_Trip_Transfer_Beijing_Capital_International_Airport_PEK-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/aa/3f/3e/caption.jpg?w=500&h=400&s=1,Private Round-Trip Transfer: Beijing Capital International Airport (PEK),474.,https://www.tripadvisor.com/Attraction_Review-g294212-d19948410-Reviews-Han_Tang_Tour_Beijing-Beijing.html,,1 hour,Wondering how to get to and from your hotel in Beijing? Look no further! Pre-book your private round-trip transport to avoid…,Free cancellation,,,from,$79.00,per adult,More info
,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By ChinaToursNet,,https://www.tripadvisor.com/AttractionProductReview-g294212-d12648056-All_Inclusive_Beijing_Tour_to_Forbidden_City_Hutong_Temple_of_Heaven-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/80/f9/98/caption.jpg?w=500&h=400&s=1,"All Inclusive Beijing Tour to Forbidden City, Hutong, Temple of Heaven",475.,https://www.tripadvisor.com/Attraction_Review-g294212-d12053371-Reviews-ChinaToursNet-Beijing.html,Bus Tours,6–7 hours,"Explore top-rated Tiananmen Square, Forbidden City and Temple of Heaven in Beijing downtown, have a better understanding…",Free cancellation,,,from,$99.00,per adult,More info
,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Travel China Guide,,https://www.tripadvisor.com/AttractionProductReview-g294212-d19346965-Mutianyu_Great_Wall_Tickets_Booking-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/73/24/16/caption.jpg?w=500&h=400&s=1,Mutianyu Great Wall Tickets Booking,476.,https://www.tripadvisor.com/Attraction_Review-g294212-d6614712-Reviews-Travel_China_Guide-Beijing.html,Ancient Ruins,6–8 hours,Skip the queue to buy tickets on site and enter directly by scanning the QR code. You could also select Shuttle Bus inside…,Free cancellation,,,from,$17.00,per adult,More info
,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Travel China Guide,,https://www.tripadvisor.com/AttractionProductReview-g294212-d19440950-Liyuan_Theatre_Peking_Opera_Tickets-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/64/0f/c7/caption.jpg?w=500&h=400&s=1,Liyuan Theatre Peking Opera Tickets,477.,https://www.tripadvisor.com/Attraction_Review-g294212-d6614712-Reviews-Travel_China_Guide-Beijing.html,Theaters,1–2 hours,"Audiences sit around classical wooden square tables, listening to the opera, tasting local snacks, and sipping Chinese tea…",Free cancellation,,,from,$26.00,per adult,More info
,Free Cancellation up to 4 days in advance,By China Tours,,https://www.tripadvisor.com/AttractionProductReview-g294212-d11455478-2_Day_Private_Classic_Xi_an_City_Tour_from_Beijing_by_Bullet_Train-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/7c/a7/b0/caption.jpg?w=500&h=400&s=1,2-Day Private Classic Xi'an City Tour from Beijing by Bullet Train,478.,https://www.tripadvisor.com/Attraction_Review-g298557-d20031653-Reviews-China_Tours-Xi_an_Shaanxi.html,Bus Tours,2 days,This magnificent private 2-day tour in Xi'an from Beijing offers two different tour ending options. You can choose to be…,Free cancellation,,,from,$538.00,per adult,More info
,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Roy L,,https://www.tripadvisor.com/AttractionProductReview-g294212-d16732095-Secrets_of_the_oldest_Beijing_Hutongs_Outdoor_Virtual_Experience-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/41/01/ff/caption.jpg?w=500&h=400&s=1,Secrets of the oldest Beijing Hutongs(Outdoor Virtual Experience),479.,https://www.tripadvisor.com/Attraction_Review-g294212-d17541173-Reviews-Roy_L-Beijing.html,Walking Tours,60–70 minutes,Beijing people say that real Chinese culture lies in old Hutongs and their small courtyards. I'll take you walk through …,Free cancellation,,,from,$30.00,per adult,More info
270,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Travel Great Wall,https://www.tripadvisor.com/AttractionProductReview-g294212-d12148370-Mutianyu_Great_Wall_Small_Group_Tour_from_Beijing_including_Lunch-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d12148370-Mutianyu_Great_Wall_Small_Group_Tour_from_Beijing_including_Lunch-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5b/73/9f/caption.jpg?w=500&h=400&s=1,Mutianyu Great Wall Small-Group Tour from Beijing including Lunch,480.,https://www.tripadvisor.com/Attraction_Review-g294212-d510313-Reviews-Travel_Great_Wall-Beijing.html,Full-day Tours,6+ hours,"Mutianyu Great Wall is a one of the most famous and ideal sections of the Great Wall, less crowded than Badaling Great Wall…",Free cancellation,99% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$55.00,per adult,More info
17,,,,,,,,,1,16,,18,,,,,,
"3,000+ places sorted by traveler favorites","Tours, activities and experiences bookable on Tripadvisor, ranked using exclusive Tripadvisor data including reviews, ratings, photos, popularity, user preferences, price, and bookings made through Tripadvisor.",Clear all filters,https://www.tripadvisor.com/ClientLink?value=Y09TXy9BdHRyYWN0aW9ucy1nMjk0MjEyLUFjdGl2aXRpZXMtYV9hbGxBdHRyYWN0aW9ucy50cnVlLUJlaWppbmcuaHRtbF9GRmE%3D,,,,,,,,,,,,,,,
1,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Discover Beijing Tours,https://www.tripadvisor.com/AttractionProductReview-g294212-d11461133-Private_Round_Trip_Transfer_between_Airport_and_Hotel-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d11461133-Private_Round_Trip_Transfer_between_Airport_and_Hotel-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5b/30/9b/caption.jpg?w=500&h=400&s=1,Private Round-Trip Transfer between Airport and Hotel,481.,https://www.tripadvisor.com/Attraction_Review-g294212-d3680609-Reviews-Discover_Beijing_Tours-Beijing.html,,1 hour,Ensure a stress-free start and end to your time in Beijing with private arrival and departure transfers between Beijing …,Free cancellation,,,from,$58.00,per adult,More info
1,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Discover Beijing Tours,https://www.tripadvisor.com/AttractionProductReview-g294212-d11459484-Beijing_Chaoyang_Theater_Acrobatic_Show_with_Peking_Duck_Dinner_Private_Tour-Beiji.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d11459484-Beijing_Chaoyang_Theater_Acrobatic_Show_with_Peking_Duck_Dinner_Private_Tour-Beiji.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/64/84/3e/caption.jpg?w=500&h=400&s=1,Beijing Chaoyang Theater Acrobatic Show with Peking Duck Dinner Private Tour,482.,https://www.tripadvisor.com/Attraction_Review-g294212-d3680609-Reviews-Discover_Beijing_Tours-Beijing.html,Skip-the-Line Tours,4–5 hours,Spend an enjoyable evening in Beijing experiencing a delicious Peking duck dinner in a local restaurant and the amazing …,Free cancellation,,,from,$219.00,per adult,More info
4,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By ChinaToursNet,https://www.tripadvisor.com/AttractionProductReview-g294212-d12152826-Quality_Coach_Day_Tour_to_Tiananmen_Square_and_Forbidden_City_plus_Badaling_Great_.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d12152826-Quality_Coach_Day_Tour_to_Tiananmen_Square_and_Forbidden_City_plus_Badaling_Great_.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/58/88/01/caption.jpg?w=500&h=400&s=1,Quality Coach Day Tour to Tiananmen Square and Forbidden City plus Badaling Great Wall,483.,https://www.tripadvisor.com/Attraction_Review-g294212-d12053371-Reviews-ChinaToursNet-Beijing.html,Full-day Tours,6+ hours,"Beijing, the capital city of China has a history of over a thousand years.Visit two UNESCO World Heritage sites on this …",Free cancellation,,,from,$78.00,per adult,More info
,Free Cancellation up to 3 days in advance,By ChinaTravelDepot,,https://www.tripadvisor.com/AttractionProductReview-g294212-d12464414-Beijing_Acrobat_Show_with_Transfer-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5b/88/1b/caption.jpg?w=500&h=400&s=1,Beijing Acrobat Show with Transfer,484.,https://www.tripadvisor.com/Attraction_Review-g294212-d21396591-Reviews-ChinaTravelDepot-Beijing.html,Theaters,2–3 hours,"At the Beijing Acrobat Show, enjoy an evening of gravity-defying contortionism, juggling, unicycling, chair-stacking and…",Free cancellation,,,from,$56.54,per adult,More info
4,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Top China Travel,https://www.tripadvisor.com/AttractionProductReview-g294212-d11477307-Great_Wall_at_Mutianyu_from_Beijing_by_Bus_with_Lunch-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d11477307-Great_Wall_at_Mutianyu_from_Beijing_by_Bus_with_Lunch-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/06/ef/dc/caption.jpg?w=500&h=400&s=1,Great Wall at Mutianyu from Beijing by Bus with Lunch,485.,https://www.tripadvisor.com/Attraction_Review-g298556-d3627531-Reviews-Top_China_Travel-Guilin_Guangxi.html,Full-day Tours,6+ hours,The Great Wall is always a must-visit site in Beijing. During this tour at least 3 hours will be arranged to explore the…,Free cancellation,,,from,$49.00,per adult,More info
5,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Discover Beijing Tours,https://www.tripadvisor.com/AttractionProductReview-g294212-d13225418-Private_Day_Tour_to_Longqing_Gorge_with_Boat_Ride_and_Cable_Car_from_Beijing-Beiji.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d13225418-Private_Day_Tour_to_Longqing_Gorge_with_Boat_Ride_and_Cable_Car_from_Beijing-Beiji.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/f5/31/2d/caption.jpg?w=500&h=400&s=1,Private Day Tour to Longqing Gorge with Boat Ride and Cable Car from Beijing,486.,https://www.tripadvisor.com/Attraction_Review-g294212-d3680609-Reviews-Discover_Beijing_Tours-Beijing.html,Full-day Tours,6+ hours,"If you want have a terrific vacation, a charming place where you can appreciate beautiful landscape-Beijing Longqing Gorge…",Free cancellation,,,from,$218.00,per adult,More info
3,Free Cancellation up to 7 days in advance,By Lily's Beijing Tour Guide & Car Service,https://www.tripadvisor.com/AttractionProductReview-g294212-d12878483-Great_Wall_Origins_Beijing_Bullet_Train_to_Qinghuangdao_Private_Day_Trip-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d12878483-Great_Wall_Origins_Beijing_Bullet_Train_to_Qinghuangdao_Private_Day_Trip-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/60/5a/01/caption.jpg?w=500&h=400&s=1,Great Wall Origins: Beijing Bullet Train to Qinghuangdao Private Day Trip,487.,https://www.tripadvisor.com/Attraction_Review-g294212-d5773897-Reviews-Lily_s_Beijing_Tour_Guide_Car_Service-Beijing.html,Rail Tours,6+ hours,"On this day, you will take bullet train from Beijing to Qinghuangdao, a port city on the coast of China in northeastern …",Free cancellation,,,from,$298.00,per adult,More info
1,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Unique Beijing Tours,https://www.tripadvisor.com/AttractionProductReview-g294212-d11910902-Private_Beijing_Night_Tour_with_Mr_Shi_s_Dumplings_Great_Leap_Brewing_and_Houhai_L.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d11910902-Private_Beijing_Night_Tour_with_Mr_Shi_s_Dumplings_Great_Leap_Brewing_and_Houhai_L.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/63/58/5d/caption.jpg?w=500&h=400&s=1,"Private Beijing Night Tour with Mr. Shi's Dumplings, Great Leap Brewing and Houhai Lake",488.,https://www.tripadvisor.com/Attraction_Review-g294212-d8051374-Reviews-Unique_Beijing_Tours-Beijing.html,Night Tours,4 hours,"""Jiaozi"" is a type of Chinese dumpling, usually filled with different kind of meat or vegetable. Traditionally symbolic, …",Free cancellation,,,from,$158.00,per adult,More info
4,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Beijing Tour Guide,https://www.tripadvisor.com/AttractionProductReview-g294212-d12841526-Beijing_Private_Night_Tour-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d12841526-Beijing_Private_Night_Tour-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/60/5c/92/caption.jpg?w=500&h=400&s=1,Beijing Private Night Tour,489.,https://www.tripadvisor.com/Attraction_Review-g294212-d3138665-Reviews-Beijing_Tour_Guide-Beijing.html,Bus Tours,4 hours,This is private night tour starts from your hotel to major Beijing city landmarks and attractions. Travel with your private…,Free cancellation,,,from,$98.00,per adult,More info
2,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Beijing Tai Chi or Kung Fu Experience Class,https://www.tripadvisor.com/AttractionProductReview-g294212-d11446001-Beijing_Private_Tai_Chi_Class-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d11446001-Beijing_Private_Tai_Chi_Class-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/4e/fb/3f/caption.jpg?w=500&h=400&s=1,Beijing Private Tai Chi Class,490.,https://www.tripadvisor.com/Attraction_Review-g294212-d6614706-Reviews-Beijing_Tai_Chi_or_Kung_Fu_Experience_Class-Beijing.html,Sports Lessons,1–2 hours,"This is a culture-based experience class. Under the instruction of our grand masters, you’ll not only study the basic gestures…",Free cancellation,,,from,$48.00,per adult,More info
