iPqaD,iPqaD href,FmrIP href,dugSS src,bUshh,cIVmB,WlYyy 2,iPqaD href 2,WlYyy 3,WlYyy 4,WlYyy 5,WlYyy 6,ySnDE,ccVGl,WlYyy 8,ccVGl 2,WlYyy 9
By Tours in Alanya,https://www.tripadvisor.com/AttractionProductReview-g1069655-d18343377-Sapadere_Canyon_Tour_with_lunch_at_Dimcay-Turkler_Alanya_Turkish_Mediterranean_Co.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g1069655-d18343377-Sapadere_Canyon_Tour_with_lunch_at_Dimcay-Turkler_Alanya_Turkish_Mediterranean_Co.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5b/16/74/caption.jpg?w=500&h=400&s=1,Sapadere Canyon Tour with lunch at Dimcay,84.,4,https://www.tripadvisor.com/Attraction_Review-g297961-d2202779-Reviews-Tours_in_Alanya-Alanya_Turkish_Mediterranean_Coast.html,Bus Tours,1 day,Taking safety measures,Free cancellation,Visit Sapadere Canyon and Dimcay river on this combi tour in one day. You will be amazed by its natural beauty and charming…,from,$34.09,per adult,More info
By Tours Antalya,https://www.tripadvisor.com/AttractionProductReview-g297962-d11459609-Canyoning_and_Rafting_Adventure-Antalya_Turkish_Mediterranean_Coast.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297962-d11459609-Canyoning_and_Rafting_Adventure-Antalya_Turkish_Mediterranean_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/31/51/e1/caption.jpg?w=500&h=400&s=1,Canyoning and Rafting Adventure,85.,7,https://www.tripadvisor.com/Attraction_Review-g297962-d6160838-Reviews-Tours_Antalya-Antalya_Turkish_Mediterranean_Coast.html,,6+ hours,Taking safety measures,Free cancellation,Want to experience a rush of adrenaline? You can do rafting at the rapid water currents of Koprulu Canyon. It’s a truly …,from,$50.91,per adult,More info
By Tours Antalya,,https://www.tripadvisor.com/AttractionProductReview-g297962-d13989236-Halal_Concept_Turkish_Bath_Antalya-Antalya_Turkish_Mediterranean_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/de/86/52/caption.jpg?w=500&h=400&s=1,Halal Concept Turkish Bath Antalya,86.,,https://www.tripadvisor.com/Attraction_Review-g297962-d6160838-Reviews-Tours_Antalya-Antalya_Turkish_Mediterranean_Coast.html,,2 hours,Taking safety measures,Free cancellation,We provide Traditional Turkish Bath service for the Muslim Conservative families and couples. We take reservations seperately…,from,$52.90,per adult,More info
By Tours Antalya,https://www.tripadvisor.com/AttractionProductReview-g297962-d11485157-Pamukkale_Day_Tour_from_Antalya-Antalya_Turkish_Mediterranean_Coast.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297962-d11485157-Pamukkale_Day_Tour_from_Antalya-Antalya_Turkish_Mediterranean_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/01/81/38/caption.jpg?w=500&h=400&s=1,Pamukkale Day Tour from Antalya,87.,1,https://www.tripadvisor.com/Attraction_Review-g297962-d6160838-Reviews-Tours_Antalya-Antalya_Turkish_Mediterranean_Coast.html,Bus Tours,1 day,Taking safety measures,Free cancellation,"Visit Pamukkale hot springs that contain travertines, terraces of carbonate minerals left by the flowing water. Then visit…",from,$66.75,per adult,More info
By Solymos Travel,https://www.tripadvisor.com/AttractionProductReview-g297962-d17565572-Antalya_kemer_pirate_boat_tour-Antalya_Turkish_Mediterranean_Coast.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297962-d17565572-Antalya_kemer_pirate_boat_tour-Antalya_Turkish_Mediterranean_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/c4/49/00/caption.jpg?w=500&h=400&s=1,Antalya kemer pirate boat tour,88.,3,https://www.tripadvisor.com/Attraction_Review-g297962-d3506348-Reviews-Solymos_Travel-Antalya_Turkish_Mediterranean_Coast.html,Sailing,6+ hours,Free cancellation,,swiming in most beatiful bays of mediterranean sea in hot days of antalya enjoy the foam party in the boat seeing unforgattable…,from,$45.25,per adult,More info
By U Can Travel,https://www.tripadvisor.com/AttractionProductReview-g297962-d15055098-Demre_Myra_Kekova_And_sunken_city_boat_Tour-Antalya_Turkish_Mediterranean_Coast.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297962-d15055098-Demre_Myra_Kekova_And_sunken_city_boat_Tour-Antalya_Turkish_Mediterranean_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f7/43/fc/caption.jpg?w=500&h=400&s=1,"Demre,Myra,Kekova And sunken city boat Tour.",89.,1,https://www.tripadvisor.com/Attraction_Review-g297962-d7602546-Reviews-U_Can_Travel-Antalya_Turkish_Mediterranean_Coast.html,Bus Tours,6–8 hours,Taking safety measures,Free cancellation,"There is a beautiful coastal sceneic drive to Myra where we have a short break. 

Visiting Demre (The Biblical Myra), where…",from,$84.85,per adult,More info
By Tours Antalya,https://www.tripadvisor.com/AttractionProductReview-g297962-d13321366-Green_Canyon_Boat_Tour_with_Lunch_and_Drinks_from_Antalya-Antalya_Turkish_Mediterr.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297962-d13321366-Green_Canyon_Boat_Tour_with_Lunch_and_Drinks_from_Antalya-Antalya_Turkish_Mediterr.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/57/8b/f3/caption.jpg?w=500&h=400&s=1,Green Canyon Boat Tour with Lunch and Drinks from Antalya,90.,3,https://www.tripadvisor.com/Attraction_Review-g297962-d6160838-Reviews-Tours_Antalya-Antalya_Turkish_Mediterranean_Coast.html,Lunch Cruises,6+ hours,Taking safety measures,Free cancellation,Taking a boat to see the Green Canyon is an ideal way to relax and enjoy a day out in a peaceful environment. This tour …,from,$63.83,per adult,More info
,,,,,,1,,3,5,,,,,,,
Clear all filters,https://www.tripadvisor.com/ClientLink?value=c0dEXy9BdHRyYWN0aW9ucy1nMjk3OTYyLUFjdGl2aXRpZXMtYV9hbGxBdHRyYWN0aW9ucy50cnVlLUFudGFseWFfVHVya2lzaF9NZWRpdGVycmFuZWFuX0NvYXN0Lmh0bWxfRkFO,,,,,,,,,,,,,,,
By Metin Tour,https://www.tripadvisor.com/AttractionProductReview-g312725-d11478082-Antalya_Aquarium_admission_with_optional_Antalya_City_Tour_and_Duden_Waterfall-Bel.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g312725-d11478082-Antalya_Aquarium_admission_with_optional_Antalya_City_Tour_and_Duden_Waterfall-Bel.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/60/ba/8e/caption.jpg?w=500&h=400&s=1,Antalya Aquarium admission with optional Antalya City Tour and Duden Waterfall,91.,6,https://www.tripadvisor.com/Attraction_Review-g297961-d9699534-Reviews-Metin_Tour-Alanya_Turkish_Mediterranean_Coast.html,Bus Tours,6+ hours,Taking safety measures,Free cancellation,"A trip to 1 of the biggest oceanarium in Europe. Walk in the water tunnel full of sharks and other fish. If you choose ""…",from,$56.56,per adult,More info
By Tours Antalya,,https://www.tripadvisor.com/AttractionProductReview-g297962-d20371096-Buggy_Safari_and_Rafting_Adventure_from_Antalya-Antalya_Turkish_Mediterranean_Coas.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/94/06/a5/caption.jpg?w=500&h=400&s=1,Buggy Safari and Rafting Adventure from Antalya,92.,,https://www.tripadvisor.com/Attraction_Review-g297962-d6160838-Reviews-Tours_Antalya-Antalya_Turkish_Mediterranean_Coast.html,Adventure Tours,6+ hours,Taking safety measures,Free cancellation,"Ride and raft on the wild side on this off-road plus white water thrill-seekers’ adventure. Departing from Side, this trip…",from,$62.22,per adult,More info
By Tours Antalya,https://www.tripadvisor.com/AttractionProductReview-g297962-d13365722-Rafting_Jeep_Safari_Adventure_from_Antalya-Antalya_Turkish_Mediterranean_Coast.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297962-d13365722-Rafting_Jeep_Safari_Adventure_from_Antalya-Antalya_Turkish_Mediterranean_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/94/1d/98/caption.jpg?w=500&h=400&s=1,Rafting & Jeep Safari Adventure from Antalya,93.,2,https://www.tripadvisor.com/Attraction_Review-g297962-d6160838-Reviews-Tours_Antalya-Antalya_Turkish_Mediterranean_Coast.html,Day Trips,6+ hours,Taking safety measures,Free cancellation,"Looking for an exciting tour, full of extreme, adrenaline and vivid emotions? Then choose a combined tour including Land…",from,$44.12,per adult,More info
By Tours Antalya,https://www.tripadvisor.com/AttractionProductReview-g297962-d12577525-Antalya_Green_Canyon_Full_Day_Boat_Trip_with_Lunch-Antalya_Turkish_Mediterranean_C.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297962-d12577525-Antalya_Green_Canyon_Full_Day_Boat_Trip_with_Lunch-Antalya_Turkish_Mediterranean_C.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/84/32/caption.jpg?w=500&h=400&s=1,Antalya Green Canyon Full-Day Boat Trip with Lunch,94.,4,https://www.tripadvisor.com/Attraction_Review-g297962-d6160838-Reviews-Tours_Antalya-Antalya_Turkish_Mediterranean_Coast.html,Lunch Cruises,6+ hours,Taking safety measures,Free cancellation,Taking a boat to see the Green Canyon is an ideal way to relax and enjoy a day out in a peaceful environment. This tour …,from,$51.60,per adult,More info
By Metin Tour,https://www.tripadvisor.com/AttractionProductReview-g297962-d11462740-Shuttle_Arrival_Transfer_from_Antalya_Airport_to_Alanya-Antalya_Turkish_Mediterran.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297962-d11462740-Shuttle_Arrival_Transfer_from_Antalya_Airport_to_Alanya-Antalya_Turkish_Mediterran.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f1/32/bc/caption.jpg?w=500&h=400&s=1,Shuttle Arrival Transfer from Antalya Airport to Alanya,95.,1,https://www.tripadvisor.com/Attraction_Review-g297961-d9699534-Reviews-Metin_Tour-Alanya_Turkish_Mediterranean_Coast.html,,2 hours,Taking safety measures,Free cancellation,Regular arrival transfer by air conditioned minibus from Antalya Airport to your hotel or home in Alanya available 24h 7…,from,$19.62,per adult,More info
By Mediprive Travel Agency ltd.,https://www.tripadvisor.com/AttractionProductReview-g297962-d17331515-Antalya_Maldives_Boat_Trip-Antalya_Turkish_Mediterranean_Coast.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297962-d17331515-Antalya_Maldives_Boat_Trip-Antalya_Turkish_Mediterranean_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/c8/ff/24/caption.jpg?w=500&h=400&s=1,Antalya Maldives Boat Trip,96.,3,https://www.tripadvisor.com/Attraction_Review-g297962-d17291761-Reviews-Mediprive_Travel_Agency_ltd-Antalya_Turkish_Mediterranean_Coast.html,Lunch Cruises,6 hours,Free cancellation,,"Harem Maldive luxury yacht tour, available on weekend (Friday, Saturday, Sunday) 

 Wellcome on board to the our Luxury …",from,$70.00,per adult,More info
By U Can Travel,https://www.tripadvisor.com/AttractionProductReview-g297962-d14042109-Jeep_Safari_ANTALYA_Gebiz_Manavgat_side_attention_high_excitement-Antalya_Turkish_.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297962-d14042109-Jeep_Safari_ANTALYA_Gebiz_Manavgat_side_attention_high_excitement-Antalya_Turkish_.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/60/69/d3/caption.jpg?w=500&h=400&s=1,Jeep Safari ANTALYA-Gebiz-Manavgat-side (attention high excitement),97.,3,https://www.tripadvisor.com/Attraction_Review-g297962-d7602546-Reviews-U_Can_Travel-Antalya_Turkish_Mediterranean_Coast.html,Day Trips,6–10 hours,Taking safety measures,,"JEEP SAFARI TOUR

Our customers will be taken from their hotel during the transfer hours and brought to our station in gebiz…",from,$48.65,per adult,More info
By E-Scooter Antalya-Daily Tours,https://www.tripadvisor.com/AttractionProductReview-g297962-d19915358-Electric_Scooter_Tour_of_Antalya-Antalya_Turkish_Mediterranean_Coast.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297962-d19915358-Electric_Scooter_Tour_of_Antalya-Antalya_Turkish_Mediterranean_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/a1/c9/38/caption.jpg?w=500&h=400&s=1,Electric Scooter Tour of Antalya,98.,5,https://www.tripadvisor.com/Attraction_Review-g312725-d19987442-Reviews-E_Scooter_Antalya_Daily_Tours-Belek_Serik_District_Turkish_Mediterranean_Coast.html,City Tours,3 hours,Taking safety measures,Free cancellation,"Explore Antalya on 2 wheels with great fun!

We will pick you up from your hotel at 09:30 to discover Antalya. We ride through…",from,$55.00,per adult,More info
By Turkey Private Tours by Archaeologist Aykut Altinisik,https://www.tripadvisor.com/AttractionProductReview-g297962-d19772113-Termessos_tour_with_local_Arcaeologist-Antalya_Turkish_Mediterranean_Coast.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297962-d19772113-Termessos_tour_with_local_Arcaeologist-Antalya_Turkish_Mediterranean_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/63/36/18/caption.jpg?w=500&h=400&s=1,Termessos tour with local Arcaeologist,99.,1,https://www.tripadvisor.com/Attraction_Review-g297962-d2163822-Reviews-Turkey_Private_Tours_by_Archaeologist_Aykut_Altinisik-Antalya_Turkish_Mediterrane.html,Bus Tours,1–5 hours,Taking safety measures,Free cancellation,,from,$240.00,per adult,More info
By Metin Tour,https://www.tripadvisor.com/AttractionProductReview-g951014-d11478081-Antalya_Aquarium_admission_with_optional_City_Tour_and_Duden_Waterfall-Konakli_Ala.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g951014-d11478081-Antalya_Aquarium_admission_with_optional_City_Tour_and_Duden_Waterfall-Konakli_Ala.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/61/10/3e/caption.jpg?w=500&h=400&s=1,Antalya Aquarium admission with optional City Tour and Duden Waterfall,100.,7,https://www.tripadvisor.com/Attraction_Review-g297961-d9699534-Reviews-Metin_Tour-Alanya_Turkish_Mediterranean_Coast.html,Bus Tours,6+ hours,Taking safety measures,Free cancellation,"A trip to 1 of the biggest oceanarium in Europe. Walk in the water tunnel full of sharks and other fish. If you choose ""…",from,$55.44,per adult,More info
By Turkey Private Tours by Archaeologist Aykut Altinisik,https://www.tripadvisor.com/AttractionProductReview-g297962-d15552118-Private_Perge_and_Aspendos_tour_with_Archaeologist_Aykut-Antalya_Turkish_Mediterra.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297962-d15552118-Private_Perge_and_Aspendos_tour_with_Archaeologist_Aykut-Antalya_Turkish_Mediterra.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/63/37/af/caption.jpg?w=500&h=400&s=1,Private Perge and Aspendos tour with Archaeologist Aykut,101.,2,https://www.tripadvisor.com/Attraction_Review-g297962-d2163822-Reviews-Turkey_Private_Tours_by_Archaeologist_Aykut_Altinisik-Antalya_Turkish_Mediterrane.html,Bus Tours,4–6 hours,Taking safety measures,Free cancellation,This is a unique archaeology tour which covers two ancient sites in one day. We will be driving from Antalya along the coast…,from,$250.00,per group,More info
By TransferOnly - Ar-Bek Travel,,https://www.tripadvisor.com/AttractionProductReview-g297968-d17684913-Antalya_City_and_Old_Town_Kaleici_Day_Trip_from_Side-Side_Manavgat_Turkish_Mediter.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/68/11/51/caption.jpg?w=500&h=400&s=1,Antalya City and Old Town Kaleici Day Trip from Side,102.,,https://www.tripadvisor.com/Attraction_Review-g298033-d12293324-Reviews-TransferOnly_Ar_Bek_Travel-Marmaris_Marmaris_District_Mugla_Province_Turkish_Aeg.html,Bus Tours,6+ hours,Taking safety measures,Free cancellation,"• Visit the old town of Antalya called Kaleici

• See the gate of Hadrian, the Clock Tower, Fluted Minaret, Palm Street …",from,$27.15,per adult,More info
By U Can Travel,https://www.tripadvisor.com/AttractionProductReview-g17951017-d15059413-Cable_Car_elevation_2365_meters-Aksu_Antalya_Turkish_Mediterranean_Coast.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g17951017-d15059413-Cable_Car_elevation_2365_meters-Aksu_Antalya_Turkish_Mediterranean_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/55/ff/87/caption.jpg?w=500&h=400&s=1,Cable Car elevation 2365 meters.,103.,5,https://www.tripadvisor.com/Attraction_Review-g297962-d7602546-Reviews-U_Can_Travel-Antalya_Turkish_Mediterranean_Coast.html,Adventure Tours,4–5 hours,Taking safety measures,Free cancellation,"Enjoy a ride on the Olympos Cable Car on this trip that’s available daily, throughout the year. You’ll be picked up at your…",from,$73.54,per adult,More info
By Gref Travel,,https://www.tripadvisor.com/AttractionProductReview-g297962-d20080441-Antalya_Quad_Safari_Tour-Antalya_Turkish_Mediterranean_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/d7/01/86/caption.jpg?w=500&h=400&s=1,Antalya Quad Safari Tour,104.,,https://www.tripadvisor.com/Attraction_Review-g297962-d15202051-Reviews-Gref_Travel-Antalya_Turkish_Mediterranean_Coast.html,Half-day Tours,3 hours,Free cancellation,,,from,$46.39,per adult,More info
By Tours Antalya,,https://www.tripadvisor.com/AttractionProductReview-g297962-d13886458-Submarine_Turkey_Tickets-Antalya_Turkish_Mediterranean_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/7a/c3/2c/caption.jpg?w=500&h=400&s=1,Submarine Turkey Tickets,105.,,https://www.tripadvisor.com/Attraction_Review-g297962-d6160838-Reviews-Tours_Antalya-Antalya_Turkish_Mediterranean_Coast.html,Adventure Tours,1 hour,Taking safety measures,,"Experience with tourist submarine NEMO an unforgettable and very original event, where you will discover the underwater …",from,$67.27,per adult,More info
By Eren NACAK,https://www.tripadvisor.com/AttractionProductReview-g297962-d21031307-Antalya_Archeology_Museum_Perge_Aspendos_Tour-Antalya_Turkish_Mediterranean_Coast.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297962-d21031307-Antalya_Archeology_Museum_Perge_Aspendos_Tour-Antalya_Turkish_Mediterranean_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/6e/9d/ef/caption.jpg?w=500&h=400&s=1,Antalya Archeology Museum + Perge + Aspendos Tour,106.,1,https://www.tripadvisor.com/Attraction_Review-g297962-d17548375-Reviews-Eren_NACAK-Antalya_Turkish_Mediterranean_Coast.html,Luxury Car Tours,5–12 hours,Free cancellation,,"- A Local Professional Tourist Guide will show you around the ancient sites and the museum 

- The order of locations can…",from,$172.23,per group,More info
By Fam Tour,,https://www.tripadvisor.com/AttractionProductReview-g297961-d13571408-Sapadere_Canyon_Hiking_Tour-Alanya_Turkish_Mediterranean_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/62/44/48/caption.jpg?w=500&h=400&s=1,Sapadere Canyon Hiking Tour,107.,,https://www.tripadvisor.com/Attraction_Review-g297961-d6440280-Reviews-Fam_Tour-Alanya_Turkish_Mediterranean_Coast.html,Ports of Call Tours,6+ hours,Free cancellation,,"•    Pick up from hotels  08:30 / 09:00

•    Photo  & tea break at the roman bridge

•    Visiting the  Sapadere Village…",from,$45.25,per adult,More info
By White Wolf Travel,https://www.tripadvisor.com/AttractionProductReview-g297962-d17716478-Olympos_Teleferik_antalya-Antalya_Turkish_Mediterranean_Coast.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297962-d17716478-Olympos_Teleferik_antalya-Antalya_Turkish_Mediterranean_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/60/b8/54/caption.jpg?w=500&h=400&s=1,Olympos Teleferik (antalya),108.,1,https://www.tripadvisor.com/Attraction_Review-g297962-d16783634-Reviews-White_Wolf_Travel-Antalya_Turkish_Mediterranean_Coast.html,,6 hours,Free cancellation,,Mountain Tahtalı located in Antalya - Kemer with its height of 2365 m is the mountain closest to the sea on the southern…,from,$90.51,per adult,More info
By Solymos Travel,,https://www.tripadvisor.com/AttractionProductReview-g297962-d14130296-Fire_of_anatolia_show_ticket_and_transfer-Antalya_Turkish_Mediterranean_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/c6/05/7e/caption.jpg?w=500&h=400&s=1,fire of anatolia show ticket and transfer,109.,,https://www.tripadvisor.com/Attraction_Review-g297962-d3506348-Reviews-Solymos_Travel-Antalya_Turkish_Mediterranean_Coast.html,Shows,4 hours,Taking safety measures,Free cancellation,"A synthesis of hundreds of folkdance figures and music from different regions, Fire of Anatolia is a unique project whose…",from,$67.88,per adult,More info
By Gref Travel,,https://www.tripadvisor.com/AttractionProductReview-g297962-d20289430-Antalya_Kemer_Phaselis_Cruise_Tour-Antalya_Turkish_Mediterranean_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/f3/06/35/caption.jpg?w=500&h=400&s=1,Antalya Kemer (Phaselis) Cruise Tour,110.,,https://www.tripadvisor.com/Attraction_Review-g297962-d15202051-Reviews-Gref_Travel-Antalya_Turkish_Mediterranean_Coast.html,Full-day Tours,6+ hours,Taking safety measures,Free cancellation,"Very nice place from Kemer , Kemer region is 45 km far from Antalya, there is very nice bay , ıf you like history and national…",from,$41.00,per adult,More info
By Sandland,https://www.tripadvisor.com/AttractionProductReview-g297962-d11468127-Antalya_Sand_Sculpture_Museum_Admission_Ticket-Antalya_Turkish_Mediterranean_Coast.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297962-d11468127-Antalya_Sand_Sculpture_Museum_Admission_Ticket-Antalya_Turkish_Mediterranean_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/74/15/a3/caption.jpg?w=500&h=400&s=1,Antalya Sand Sculpture Museum Admission Ticket,111.,12,https://www.tripadvisor.com/Attraction_Review-g297962-d3952874-Reviews-Sandland-Antalya_Turkish_Mediterranean_Coast.html,Skip-the-Line Tours,30–90 minutes,,,SANDLAND (Antalya Sand Sculpture Museum) is one of the premier sand sculpture events in the world. The art of sand sculpting…,from,$5.66,per adult,More info
By Anemon Turizm,https://www.tripadvisor.com/AttractionProductReview-g297962-d17515447-Skip_the_Line_Aquarium_Snow_World_Ice_Museum_WildPark_Oceanride_XD_Package-Antalya.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297962-d17515447-Skip_the_Line_Aquarium_Snow_World_Ice_Museum_WildPark_Oceanride_XD_Package-Antalya.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5b/94/5d/caption.jpg?w=500&h=400&s=1,"Skip the Line: Aquarium, Snow World/Ice Museum, WildPark, Oceanride XD Package",112.,1,https://www.tripadvisor.com/Attraction_Review-g297962-d15529548-Reviews-Anemon_Turizm-Antalya_Turkish_Mediterranean_Coast.html,Aquariums,4 hours,Taking safety measures,Free cancellation,"The world’s biggest tunnel aquarium!

Located in the heart of Antalya, just 70 meters away from Konyaaltı Beach, Antalya…",from,$98.63,per adult,More info
By Tours Antalya,https://www.tripadvisor.com/AttractionProductReview-g297962-d19008699-Horse_Riding_at_the_Golden_Sandy_Beach_of_Antalya-Antalya_Turkish_Mediterranean_Co.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297962-d19008699-Horse_Riding_at_the_Golden_Sandy_Beach_of_Antalya-Antalya_Turkish_Mediterranean_Co.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/57/8b/f8/caption.jpg?w=500&h=400&s=1,Horse Riding at the Golden Sandy Beach of Antalya,113.,4,https://www.tripadvisor.com/Attraction_Review-g297962-d6160838-Reviews-Tours_Antalya-Antalya_Turkish_Mediterranean_Coast.html,Horse Carriage Rides,2 hours,Taking safety measures,,"This amazing tour will start by picking you up from your hotel. After some instructions, you will choose your friend as …",from,$63.83,per adult,More info
By TURONTIME,,https://www.tripadvisor.com/AttractionProductReview-g297962-d20189982-Lavander_fields_and_Salda_lake_from_Antalya-Antalya_Turkish_Mediterranean_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f8/1e/e1/caption.jpg?w=500&h=400&s=1,Lavander fields and Salda lake from Antalya,114.,,https://www.tripadvisor.com/Attraction_Review-g297962-d20053895-Reviews-TURONTIME-Antalya_Turkish_Mediterranean_Coast.html,Full-day Tours,6+ hours,Taking safety measures,Free cancellation,Have you always dreamed of a romantic photo shoot against the backdrop of lavender fields and Maldivian style beach? - …,from,$50.91,per adult,More info
By Side Tours,,https://www.tripadvisor.com/AttractionProductReview-g297961-d11457328-Sunken_City_Kekova_Demre_and_Myra_Day_Tour_from_Side-Alanya_Turkish_Mediterranean_.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/82/d8/78/caption.jpg?w=500&h=400&s=1,Sunken City Kekova Demre and Myra Day Tour from Side,115.,,https://www.tripadvisor.com/Attraction_Review-g297968-d17346196-Reviews-Side_Tours-Side_Manavgat_Turkish_Mediterranean_Coast.html,Bus Tours,6+ hours,Taking safety measures,Free cancellation,Join this trip to visit the most popular tourist attractions of Turkey. Discover the ruins of the sunken city in Kekova …,from,$62.22,per adult,More info
By Metin Tour,https://www.tripadvisor.com/AttractionProductReview-g297968-d11481652-Natural_Sapadere_Canyon_and_Goblin_s_Cave_with_village_visit-Side_Manavgat_Turkish.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297968-d11481652-Natural_Sapadere_Canyon_and_Goblin_s_Cave_with_village_visit-Side_Manavgat_Turkish.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/60/ac/f4/caption.jpg?w=500&h=400&s=1,Natural Sapadere Canyon and Goblin's Cave with village visit,116.,2,https://www.tripadvisor.com/Attraction_Review-g297961-d9699534-Reviews-Metin_Tour-Alanya_Turkish_Mediterranean_Coast.html,Adventure Tours,6+ hours,Taking safety measures,Free cancellation,Go for a trip to the Taurus mountains to a beautiful unspoiled Sapadere Canyon. Trek in the canyon or swim in the waterfall…,from,$44.12,per adult,More info
By Fam Tour,,https://www.tripadvisor.com/AttractionProductReview-g297962-d19831093-Jeep_safari_nature_and_adventure_tour_from_Antalya-Antalya_Turkish_Mediterranean_C.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/80/e8/96/caption.jpg?w=500&h=400&s=1,Jeep safari nature and adventure tour from Antalya,117.,,https://www.tripadvisor.com/Attraction_Review-g297961-d6440280-Reviews-Fam_Tour-Alanya_Turkish_Mediterranean_Coast.html,Full-day Tours,6+ hours,Free cancellation,,Antalya Jeep Safari tours is drive with the 4×4 Land Rover jeeps through the natural beauty of the Taurus mountains via …,from,$45.81,per adult,More info
By Solymos Travel,,https://www.tripadvisor.com/AttractionProductReview-g297962-d16722689-Olympos_cable_car_with_transfer_from_antalya-Antalya_Turkish_Mediterranean_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/62/2e/65/caption.jpg?w=500&h=400&s=1,olympos cable car with transfer from antalya,118.,,https://www.tripadvisor.com/Attraction_Review-g297962-d3506348-Reviews-Solymos_Travel-Antalya_Turkish_Mediterranean_Coast.html,Bus Tours,5–6 hours,Free cancellation,,olympos cable car gets you the highest mountain of antalya when you get in the cable car that takes you 2635 meters away…,from,$68.81,per adult,More info
